id_contrato,nombre_contrato
20,INDEFINIDO
0,INDEFINIDO
239,CONTRATO TEMPORAL
100,INDEFINIDO
130,INDEFINIDO
150,INDEFINIDO
189,INDEFINIDO
109,INDEFINIDO
200,INDEFINIDO
230,INDEFINIDO
250,INDEFINIDO
289,INDEFINIDO
300,INDEFINIDO
330,INDEFINIDO
350,INDEFINIDO
389,INDEFINIDO
401,CONTRATO TEMPORAL
402,CONTRATO TEMPORAL
403,CONTRATO TEMPORAL
410,CONTRATO TEMPORAL
418,CONTRATO TEMPORAL
420,CONTRATO TEMPORAL
441,CONTRATO TEMPORAL
452,CONTRATO TEMPORAL
421,CONTRATO TEMPORAL
501,CONTRATO TEMPORAL
510,CONTRATO TEMPORAL
502,CONTRATO TEMPORAL
530,CONTRATO TEMPORAL
